"Ссылка-href","Польз","Наименование","Адрес","Район","цена","Общая площадь","Этаж","Жилая площадь","Количество комнат","Площадь кухни","Высота потолков","Этажей в доме","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_127_m_36_et._2479574777","АН «Компания «Омская недвижимость»","2-к. квартира, 127 м², 3/6 эт.","Омская область, Омск, ул. Красина, 6","р-н Центральный","34 900 000","127","3","","2","15","","6","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_40_m_1016_et._2191828218","Апартаменты RENT-сервис","1-к. квартира, 40 м², 10/16 эт.","Омская область, Омск, ул. Звездова, 127","р-н Центральный","2 175","40","","","1","","2350","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_386_m_110_et._3304012509","Квартсервис","1-к. квартира, 38,6 м², 1/10 эт.","Омская область, Омск, ул. Конева, 34","р-н Кировский","3 700 000","38.6","","","1","9.4","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/4-k._kvartira_846_m_55_et._2458158145","-","4-к. квартира, 84,6 м², 5/5 эт.","Омская область, Омск, посёлок Новостройка, 8","р-н Кировский","5 500 000","84.6","5","","4","32","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_424_m_110_et._3338768205","Самолет плюс Омск-Центр Агентство недвижимости","1-к. квартира, 42,4 м², 1/10 эт.","Омская область, Омск, Волгоградская ул., 1с1","р-н Кировский","3 637 000","42.4","","18","1","12","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_53_m_69_et._2506017859","Дмитрий П.","2-к. квартира, 53 м², 6/9 эт.","Омская область, Омск, Иртышская наб., 33","р-н Ленинский","2 000","53","","","2","","2000","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_37_m_55_et._3503915164","РИЭЛТКОНСАЛТ","2-к. квартира, 37 м², 5/5 эт.","Омская область, Омск, 14-я Чередовая ул., 2","р-н Ленинский","3 350 000","37","","23","2","5","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_383_m_44_et._3163241691","","1-к. квартира, 38,3 м², 4/4 эт.","Омская область, Омск, Транссибирская ул., 25к2","р-н Кировский","4 200 000","38.3","","20","1","10","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_605_m_49_et._3097569779","Посмотреть подробности","2-к. квартира, 60,5 м², 4/9 эт.","ул. Волгоградская, стр. 10","р-н Кировский","6 440 139","60.5","","","2","14.1","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_565_m_310_et._3253121862","-","2-к. квартира, 56,5 м², 3/10 эт.","Омская область, Омск, ул. 16-й Военный Городок, 461","р-н Октябрьский","5 500 000","56.5","3","","2","9","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_43_m_45_et._3211349458","Самолет плюс Омск-Центр Агентство недвижимости","2-к. квартира, 43 м², 4/5 эт.","Омская область, Омск, пр-т Карла Маркса, 10А","р-н Центральный","5 500 000","43","","27","2","5.8","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_633_m_15_et._3593954372","Агентство недвижимости «МИАРД ВЛАДИС»","3-к. квартира, 63,3 м², 1/5 эт.","Омская область, Омск, ул. 20-я Линия, 55А","р-н Центральный","6 130 000","63.3","","45","3","6","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_30_m_35_et._3483122894","-","1-к. квартира, 30 м², 3/5 эт.","Омская область, Омск, ул. Рождественского, 1","р-н Ленинский","4 000 000","30","","18","1","6","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_627_m_417_et._3810487951","Агентство недвижимости ЛЕТО","2-к. квартира, 62,7 м², 4/17 эт.","ул. Крупской, блок-секция C1","р-н Кировский","8 262 000","62.7","4","","2","15","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_55_m_11_et._3507904168","-","2-к. квартира, 55 м², 1/1 эт.","Омская область, Омск, Учебная ул., 20","р-н Центральный","12 750 000","55","","50","2","5","286","1","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_60_m_710_et._3369244773","Этажи Омск","2-к. квартира, 60 м², 7/10 эт.","Омская область, Омск, ул. Крупской, 6","р-н Кировский","7 000 000","60","7","","2","9","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_454_m_59_et._2905167723","Посмотреть подробности","1-к. квартира, 45,4 м², 5/9 эт.","ул. Волгоградская, стр. 14","р-н Кировский","5 095 668","45.4","","","1","16.6","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_57_m_15_et._3086121933","Недвижимость Лузино","3-к. квартира, 57 м², 1/5 эт.","Омская область, Омск, микрорайон Входной, 29","р-н Ленинский","3 690 000","57","1","","3","6.5","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_905_m_614_et._3093972004","Этажи Омск","3-к. квартира, 90,5 м², 6/14 эт.","Омская область, Омск, пр-т Комарова, 15к3","р-н Кировский","10 200 000","90.5","","50","3","10","","14","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_40_m_910_et._2232489033","VGOSTI Omsk","1-к. квартира, 40 м², 9/10 эт.","Омск, бульвар Архитекторов, 12к1","р-н Кировский","2 100","40","","","1","","1000","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_748_m_812_et._3001281673","Посмотреть подробности","3-к. квартира, 74,8 м², 8/12 эт.","ул. Волгоградская, стр. 5","р-н Кировский","7 577 146","74.8","","37.3","3","14.9","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_53_m_55_et._3339380116","Самолет плюс Омск-Центр Агентство недвижимости","2-к. квартира, 53 м², 5/5 эт.","Омская область, Омск, микрорайон Городок Нефтяников, 4-я Поселковая ул., 34","р-н Советский","4 800 000","53","","29","2","9.5","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_624_m_1313_et._3392100807","Ключники","2-к. квартира, 62,4 м², 13/13 эт.","Омская область, Омск, 5-я Северная ул., 124","р-н Центральный","7 200 000","62.4","13","","2","11.5","","13","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_35_m_1212_et._2629016658","-","1-к. квартира, 35 м², 12/12 эт.","Омская область, Омск, ул. Б.Г. Шаронова, 23","р-н Кировский","5 000 000","35","12","","1","9","","12","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_336_m_19_et._3369117553","Этажи Омск","1-к. квартира, 33,6 м², 1/9 эт.","Омская область, Омск, Средняя ул., 5/1","р-н Центральный","3 500 000","33.6","1","","1","6.7","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_766_m_48_et._3503675435","РИЭЛТКОНСАЛТ","2-к. квартира, 76,6 м², 4/8 эт.","ул. Дианова, стр. 34","р-н Кировский","8 053 060","76.6","","35.5","2","29.5","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_622_m_15_et._2984548067","Квартсервис","3-к. квартира, 62,2 м², 1/5 эт.","Омская область, Омск, микрорайон Городок Нефтяников, 2-я Поселковая ул., 53В","р-н Советский","5 500 000","62.2","","42.5","3","10","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_33_m_12_et._2725047294","","1-к. квартира, 33 м², 1/2 эт.","Омская область, Омск, 19-я Рабочая ул., 127","р-н Октябрьский","2 500 000","33","","18","1","7.8","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_438_m_310_et._3504326956","РИЭЛТКОНСАЛТ","1-к. квартира, 43,8 м², 3/10 эт.","ул. Волгоградская, стр. 1","р-н Кировский","4 174 140","43.8","","18","1","12","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_38_m_25_et._2648222763","-","1-к. квартира, 38 м², 2/5 эт.","Омск, улица Кирова, 4/2","р-н Октябрьский","4 300 000","38","2","","1","7.5","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_562_m_55_et._3303769929","Квартсервис","3-к. квартира, 56,2 м², 5/5 эт.","Омская область, Омск, микрорайон Городок Нефтяников, ул. 22 Апреля, 8А","р-н Советский","4 750 000","56.2","","38.7","3","5.8","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_606_m_49_et._3254126752","-","1-к. квартира, 60,6 м², 4/9 эт.","Омская область, Омск, ул. Сазонова, 64","р-н Центральный","6 900 000","60.6","","30","1","13","","9","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_503_m_45_et._3441709838","-","3-к. квартира, 50,3 м², 4/5 эт.","Омская область, Омск, Заозёрная ул., 12","р-н Советский","3 880 000","50.3","","35.4","3","5.9","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_1013_m_817_et._3438028382","-","3-к. квартира, 101,3 м², 8/17 эт.","Омская область, Омск, ул. Конева, 8к1","р-н Кировский","13 000 000","101.3","8","","3","15","","17","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_467_m_88_et._3453165309","-","2-к. квартира, 46,7 м², 8/8 эт.","Омская область, Омск, Транссибирская ул., 1","р-н Кировский","6 000 000","46.7","","","2","8.2","","8","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_53_m_414_et._1872123028","-","1-к. квартира, 53 м², 4/14 эт.","Омская область, Омск, ул. Дианова, 16","р-н Кировский","6 100 000","53","","40.2","1","10","","14","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_102_m_16_et._3032611992","ООО ""ГЮЦН ""Эталон""","3-к. квартира, 102 м², 1/6 эт.","Омск, микрорайон Старгород, улица Шукшина, 2","р-н Центральный","17 499 000","102","","40","3","30","","6","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/4-k._kvartira_85_m_14_et._2826832821","Самолет плюс Омск-Центр Агентство недвижимости","4-к. квартира, 85 м², 1/4 эт.","Омская область, Омск, ул. Авиагородок, 2","р-н Кировский","6 130 000","85","","68","4","7","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_63_m_69_et._3349944960","","2-к. квартира, 63 м², 6/9 эт.","5-я Северная ул., д. 124","р-н Центральный","7 400 000","63","","","2","","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_305_m_55_et._3373115490","-","1-к. квартира, 30,5 м², 5/5 эт.","Омская область, Омск, посёлок Амурский, 2-я Барнаульская ул., 11Г","р-н Центральный","2 990 000","30.5","","17","1","6.8","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_438_m_310_et._3312235372","РИЭЛТКОНСАЛТ","1-к. квартира, 43,8 м², 3/10 эт.","ул. Волгоградская, стр. 1","р-н Кировский","4 174 000","43.8","","","1","16","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_487_m_45_et._2968215288","ООО ""ГЮЦН ""Эталон""","3-к. квартира, 48,7 м², 4/5 эт.","Омск, Сибирский проспект, 8/2","р-н Ленинский","3 740 000","48.7","","34.8","3","5.8","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_533_m_88_et._3504245886","РИЭЛТКОНСАЛТ","1-к. квартира, 53,3 м², 8/8 эт.","ул. Дианова, стр. 34","р-н Кировский","5 923 624","53.3","","","1","23.4","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/svob._planirovka_934_m_514_et._3372953931","","Своб. планировка, 93,4 м², 5/14 эт.","Омская область, Омск, ул. Маршала Жукова, 156","р-н Центральный","9 200 000","93.4","","","","","","1","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_609_m_49_et._3453514230","","3-к. квартира, 60,9 м², 4/9 эт.","Омская область, Омск, микрорайон Московка-2, ул. Ярослава Гашека, 3/2","р-н Ленинский","6 200 000","60.9","","39.5","3","7","260","9","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/kvartira-studiya_345_m_1414_et._3382842653","-","Квартира-студия, 34,5 м², 14/14 эт.","Омская область, Омск, ул. Перелёта, 24","р-н Кировский","5 500 000","34.5","","","","","","14","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_63_m_49_et._2177362843","","3-к. квартира, 63 м², 4/9 эт.","Омская область, Омск, ул. 10 лет Октября, 109","р-н Центральный","3 700","63","","","3","","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_551_m_910_et._3415167970","-","2-к. квартира, 55,1 м², 9/10 эт.","Омская область, Омск, ул. Архиепископа Сильвестра, 17","р-н Ленинский","5 500 000","55.1","","30","2","13.6","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_413_m_22_et._2908294681","-","2-к. квартира, 41,3 м², 2/2 эт.","Омская область, Омский р-н, с. Петровка, Школьная ул., 8","","650 000","41.3","","","2","11","","2","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_38_m_1216_et._3152928172","","1-к. квартира, 38 м², 12/16 эт.","Омская область, Омск, ул. Б.Г. Шаронова, 27","р-н Кировский","5 550 000","38","","19","1","11","","16","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_322_m_15_et._3369282050","Этажи Омск","1-к. квартира, 32,2 м², 1/5 эт.","Омская область, Омск, ул. 20-я Линия, 59","р-н Центральный","3 800 000","32.2","1","","1","12","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_899_m_717_et._3415020472","Квартсервис","3-к. квартира, 89,9 м², 7/17 эт.","ул. Крупской, блок-секция C3","р-н Кировский","11 600 000","89.9","","33","3","37.5","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_42_m_217_et._2666155416","Happy House Посуточная аренда Омск","1-к. квартира, 42 м², 2/17 эт.","Омская область, Омск, ул. Чернышевского, 2к3","р-н Центральный","2 350","42","","","1","","2000","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_447_m_13_et._3545661881","Агентство недвижимость ""Доверие""","2-к. квартира, 44,7 м², 1/3 эт.","Омская область, Омск, микрорайон Московка, ул. Константина Заслонова, 17","р-н Ленинский","4 200 000","44.7","","28","2","7",""," ","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_432_m_79_et._1088228497","Александр","2-к. квартира, 43,2 м², 7/9 эт.","Омская область, Омск, ул. Всеволода Иванова, 15","р-н Ленинский","2 300","43.2","","","2","","2000","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_44_m_810_et._3304131051","Квартсервис","2-к. квартира, 44 м², 8/10 эт.","Омская область, Омск, ул. Красный Путь, 135к2","р-н Советский","8 800 000","44","","17","2","16","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/kvartira-studiya_40_m_616_et._3081654997","Этажи Омск","Квартира-студия, 40 м², 6/16 эт.","Омская область, Омск, ул. 13-я Линия, 37/5","р-н Центральный","4 650 000","40","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_307_m_35_et._3416875576","ОБМЕН РАЗНОГО ФОРМАТА","1-к. квартира, 30,7 м², 3/5 эт.","Омская область, Омск, микрорайон Городок Нефтяников, ул. 19-го Партсъезда, 35","р-н Советский","2 930 000","30.7","","","1","6.5","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/4-k._kvartira_71_m_11_et._3396007420","-","4-к. квартира, 71 м², 1/1 эт.","Омская область, Омск, микрорайон Порт-Артур, 6-я Марьяновская ул., 26","р-н Ленинский","3 910 000","71","","45","4","16","","1","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_493_m_15_et._3392142393","-","2-к. квартира, 49,3 м², 1/5 эт.","Омская область, Омск, ул. Пушкина, 32","р-н Центральный","6 400 000","49.3","","","2","10","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_413_m_25_et._3422611276","Агентство Недвижимости Чердак","3-к. квартира, 41,3 м², 2/5 эт.","Омская область, Омск, микрорайон Привокзальный, Вокзальная ул., 49","р-н Ленинский","3 300 000","41.3","2","","3","5.5","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_325_m_55_et._3539188568","ЛЕДОН-Недвижимость","1-к. квартира, 32,5 м², 5/5 эт.","Омская область, Омск, Мельничная ул., 89к6","р-н Кировский","2 970 000","32.5","","","1","7","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_422_m_810_et._3539425493","ЛЕДОН-Недвижимость","1-к. квартира, 42,2 м², 8/10 эт.","Омская область, Омск, ул. Дмитриева, 3/2","р-н Кировский","4 400 000","42.2","","","1","8.5","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_688_m_49_et._3292313036","","3-к. квартира, 68,8 м², 4/9 эт.","Омская область, Омск, ул. Конева, 12","р-н Кировский","7 500 000","68.8","4","","3","11.4","","1","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_489_m_55_et._3267931854","Людмила","3-к. квартира, 48,9 м², 5/5 эт.","Омская область, Омск, посёлок Черёмушки, ул. 14-й Военный Городок, 32","р-н Ленинский","4 900 000","48.9","5","","3","6","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_887_m_34_et._3244908538","ИПОТЕКА-ЦЕНТР","3-к. квартира, 88,7 м², 3/4 эт.","Омская область, Омск, ул. СибНИИСХоз, 1","р-н Советский","7 950 000","88.7","3","","3","15.6","","4","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/snimu_2-k._kvartiru_3317510021","-","Сниму 2-к. квартиру","Омская область, Омск, Кировский округ","р-н Кировский","25 000","","","","2","","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_43_m_1822_et._3190978364","Не компания","1-к. квартира, 43 м², 18/22 эт.","Омская область, Омск, б-р М.М. Кузьмина, 13","р-н Кировский","2 300","43","","","1","","1500","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_60_m_510_et._2144519971","Sutki-v-Omske квартиры посуточно","2-к. квартира, 60 м², 5/10 эт.","Омская область, Омск, б-р Архитекторов, 13","р-н Кировский","2 500","60","","","2","","2000","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/5-k._kvartira_846_m_55_et._2878019531","-","5-к. квартира, 84,6 м², 5/5 эт.","Омская область, Омск, посёлок Амурский, ул. Багратиона, 80","р-н Центральный","5 750 000","84.6","","56.5","5","8","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_51_m_12_et._2650604472","-","2-к. квартира, 51 м², 1/2 эт.","Омская область, Омск, ул. Серова, 1","р-н Ленинский","4 900 000","51","","41","2","5","","2","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_432_m_210_et._3538678012","ЛЕДОН-Недвижимость","2-к. квартира, 43,2 м², 2/10 эт.","Омская область, Омск, 5-я Кировская ул., 176","р-н Кировский","2 950 000","43.2","","24","2","10","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_766_m_714_et._3209109477","Этажи Омск","3-к. квартира, 76,6 м², 7/14 эт.","Омская область, Омск, ул. Маршала Жукова, 107","р-н Центральный","11 450 000","76.6","7","","3","20.4","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/2-k._kvartira_60_m_99_et._2827085415","Самолет плюс Омск-Центр Агентство недвижимости","2-к. квартира, 60 м², 9/9 эт.","Омская область, Омск, ул. Малиновского, 16к2","р-н Советский","4 920 000","60","","27","2","10","","1","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_457_m_79_et._3353649672","Посмотреть подробности","1-к. квартира, 45,7 м², 7/9 эт.","ул. Волгоградская, стр. 10","р-н Кировский","5 223 851","45.7","","","1","17","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_40_m_1516_et._2704459756","","1-к. квартира, 40 м², 15/16 эт.","Омская область, Омск, ул. Б.Г. Шаронова, 21","р-н Кировский","6 990 000","40","15","","1","11","","16","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_44_m_79_et._3485244518","","1-к. квартира, 44 м², 7/9 эт.","Омская область, Омск, ул. Красина, 4","р-н Центральный","7 800 000","44","","22","1","12","","9","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_79_m_510_et._3472387119","","3-к. квартира, 79 м², 5/10 эт.","Омская область, Омск, ул. Туполева, 2","р-н Кировский","9 495 000","79","","45.3","3","13.4","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_40_m_510_et._3243003301","Самолет плюс Омск-Центр Агентство недвижимости","1-к. квартира, 40 м², 5/10 эт.","Омская область, Омск, 5-я Кировская ул., 176","р-н Кировский","3 000 000","40","","18","1","10","","10","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_435_m_910_et._2594135505","","1-к. квартира, 43,5 м², 9/10 эт.","Омская область, Омск, ул. Леонида Маслова, 8","р-н Кировский","1 600","43.5","","","1","","1000","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_524_m_39_et._3778277624","","3-к. квартира, 52,4 м², 3/9 эт.","Омская область, Омск, микрорайон Заозёрный, ул. Глинки, 1","р-н Советский","5 240 000","52.4","","36.4","3","7.6","","9","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_34_m_35_et._3341464362","-","1-к. квартира, 34 м², 3/5 эт.","Омская область, Омский р-н, Троицкое сельское поселение, с. Троицкое, микрорайон Ясная Поляна, Яснополянский пр-т, 6","","3 720 000","34","3","","1","8","","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/3-k._kvartira_591_m_45_et._3143835835","","3-к. квартира, 59,1 м², 4/5 эт.","Омская область, Омск, микрорайон Чередовый, ул. Радищева, 88","р-н Ленинский","4 800 000","59.1","","42.6","3","6.1","","5","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_45_m_510_et._2807508905","Не компания","1-к. квартира, 45 м², 5/10 эт.","Омская область, Омск, ул. Б.Г. Шаронова, 27","р-н Кировский","2 500","45","","","1","","1000","","","","","","","","","","","","","","","","","","",""
"https://www.avito.ru/omsk/kvartiry/1-k._kvartira_275_m_59_et._2415593708","-","1-к. квартира, 27,5 м², 5/9 эт.","Омская область, Омск, ул. 1-й Красной Звезды, 71","р-н Ленинский","2 899 900","27.5","5","","1","9","","1","","","","","","","","","","","","","","","","","",""
